2022-10-03 05:14:37, soc: 23, bat: 4225.200000, vout: 9264.000000, charge: 2785.714286, discharge: 0.000000
2022-10-03 05:14:38, soc: 23, bat: 4225.200000, vout: 9068.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:39, soc: 23, bat: 4225.200000, vout: 9288.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:40, soc: 23, bat: 4225.200000, vout: 9068.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:41, soc: 23, bat: 4225.200000, vout: 9288.000000, charge: 2782.142857, discharge: 0.000000
2022-10-03 05:14:42, soc: 23, bat: 4225.200000, vout: 8240.000000, charge: 2778.571429, discharge: 0.000000
2022-10-03 05:14:43, soc: 23, bat: 4225.200000, vout: 9288.000000, charge: 2778.571429, discharge: 0.000000
2022-10-03 05:14:44, soc: 23, bat: 4225.200000, vout: 9264.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:45, soc: 23, bat: 4225.200000, vout: 10092.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:46, soc: 23, bat: 4224.000000, vout: 9264.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:47, soc: 23, bat: 4224.000000, vout: 9068.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:48, soc: 23, bat: 4224.000000, vout: 9288.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:49, soc: 23, bat: 4224.000000, vout: 8240.000000, charge: 2771.428571, discharge: 0.000000
2022-10-03 05:14:50, soc: 23, bat: 4224.000000, vout: 9288.000000, charge: 2771.428571, discharge: 0.000000
2022-10-03 05:14:51, soc: 23, bat: 4224.000000, vout: 9264.000000, charge: 2771.428571, discharge: 0.000000
2022-10-03 05:14:52, soc: 23, bat: 4224.000000, vout: 9068.000000, charge: 2775.000000, discharge: 0.000000
2022-10-03 05:14:53, soc: 24, bat: 4224.000000, vout: 9288.000000, charge: 2771.428571, discharge: 0.000000
2022-10-03 05:14:54, soc: 24, bat: 4224.000000, vout: 8240.000000, charge: 2771.428571, discharge: 0.000000
2022-10-03 05:14:55, soc: 24, bat: 4225.200000, vout: 9288.000000, charge: 2767.857143, discharge: 0.000000
2022-10-03 05:14:56, soc: 24, bat: 4225.200000, vout: 9264.000000, charge: 2767.857143, discharge: 0.000000
2022-10-03 05:14:57, soc: 24, bat: 4225.200000, vout: 9068.000000, charge: 2760.714286, discharge: 0.000000
2022-10-03 05:14:58, soc: 24, bat: 4225.200000, vout: 9288.000000, charge: 2757.142857, discharge: 0.000000
2022-10-03 05:14:59, soc: 24, bat: 4225.200000, vout: 9264.000000, charge: 2753.571429, discharge: 0.000000
2022-10-03 05:15:00, soc: 24, bat: 4225.200000, vout: 10092.000000, charge: 2753.571429, discharge: 0.000000
2022-10-03 05:15:01, soc: 24, bat: 4225.200000, vout: 9264.000000, charge: 2750.000000, discharge: 0.000000
2022-10-03 05:15:02, soc: 24, bat: 4225.200000, vout: 9068.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:03, soc: 24, bat: 4225.200000, vout: 9288.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:04, soc: 24, bat: 4225.200000, vout: 9264.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:05, soc: 24, bat: 4225.200000, vout: 10092.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:06, soc: 24, bat: 4225.200000, vout: 9264.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:07, soc: 24, bat: 4225.200000, vout: 9068.000000, charge: 2742.857143, discharge: 0.000000
2022-10-03 05:15:08, soc: 25, bat: 4225.200000, vout: 9288.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:09, soc: 25, bat: 4225.200000, vout: 9068.000000, charge: 2742.857143, discharge: 0.000000
2022-10-03 05:15:10, soc: 25, bat: 4225.200000, vout: 9288.000000, charge: 2742.857143, discharge: 0.000000
2022-10-03 05:15:11, soc: 25, bat: 4225.200000, vout: 8240.000000, charge: 2742.857143, discharge: 0.000000
2022-10-03 05:15:12, soc: 25, bat: 4225.200000, vout: 10092.000000, charge: 2746.428571, discharge: 0.000000
2022-10-03 05:15:13, soc: 25, bat: 4225.200000, vout: 9264.000000, charge: 10060.714286, discharge: 0.000000
2022-10-03 05:15:14, soc: 25, bat: 4225.200000, vout: 9068.000000, charge: 2742.857143, discharge: 0.000000
